Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Category,Sub-Category,Product ID,Product Name,Sales,Quantity,Discount,Profit
CA-2025-100133,2023-08-06,2023-08-09,First Class,CUST-5815,Anitha P,Corporate,Bengaluru,Karnataka,West,Office Supplies,Art,PROD-OF-2072,Boston Pencil Pack,133.25,5,0.3,-0.23
CA-2024-100188,2023-08-13,2023-08-15,First Class,CUST-6223,Meena P,Home Office,Hyderabad,Telangana,West,Technology,Machines,PROD-TE-7971,Laminator Pro,4111.25,8,0.05,612.72
CA-2024-100174,2023-08-13,2023-08-14,Same Day,CUST-2283,Anitha S,Home Office,Hyderabad,Telangana,Central,Technology,Accessories,PROD-TE-1659,Logitech Wireless Mouse,505.49,7,0.3,72.37
CA-2024-100172,2023-08-19,2023-08-24,Same Day,CUST-4390,Vijay S,Corporate,Hyderabad,Telangana,East,Office Supplies,Appliances,PROD-OF-6997,Hamilton Beach Blender,187.11,3,0.3,13.15
CA-2024-100114,2023-08-19,2023-08-25,Same Day,CUST-4155,Meena P,Consumer,Mumbai,Maharashtra,Central,Office Supplies,Envelopes,PROD-OF-9321,Airmail Envelopes,257.77,2,0.0,93.11
CA-2024-100148,2023-08-19,2023-08-24,First Class,CUST-6777,Karthik S,Home Office,New Delhi,Delhi,South,Technology,Copiers,PROD-TE-4036,Xerox WorkCentre,2068.4,4,0.0,339.61
CA-2024-100196,2023-08-21,2023-08-23,Same Day,CUST-6925,Karthik N,Corporate,Mumbai,Maharashtra,West,Technology,Accessories,PROD-TE-8358,Logitech Wireless Mouse,4568.91,6,0.0,1221.82
CA-2025-100189,2023-08-22,2023-08-23,Standard Class,CUST-4200,Divya K,Home Office,Hyderabad,Telangana,East,Office Supplies,Art,PROD-OF-6110,Boston Pencil Pack,98.85,4,0.15,28.28
CA-2025-100143,2023-08-29,2023-09-01,Second Class,CUST-6299,Arun S,Home Office,Hyderabad,Telangana,East,Office Supplies,Storage,PROD-OF-8574,Rubbermaid Containers,172.61,4,0.0,65.78
CA-2024-100054,2023-08-30,2023-09-02,Second Class,CUST-8783,Anitha M,Corporate,Mumbai,Maharashtra,West,Office Supplies,Paper,PROD-OF-1984,Hammermill Paper,576.26,5,0.2,60.84
CA-2024-100156,2023-08-31,2023-09-05,Second Class,CUST-3279,Karthik M,Home Office,New Delhi,Delhi,East,Furniture,Furnishings,PROD-FU-9980,DAX Clear Frame,290.78,1,0.2,-5.82
CA-2024-100042,2023-09-01,2023-09-08,First Class,CUST-4735,Divya S,Consumer,Hyderabad,Telangana,South,Office Supplies,Supplies,PROD-OF-9434,Staples Index Cards,200.93,6,0.15,23.07
CA-2024-100084,2023-09-09,2023-09-11,Second Class,CUST-9202,Karthik P,Home Office,New Delhi,Delhi,East,Furniture,Tables,PROD-FU-2868,Bretford Conference Table,674.29,4,0.1,-6.31
CA-2024-100030,2023-09-10,2023-09-17,First Class,CUST-8901,Priya R,Home Office,Ahmedabad,Gujarat,Central,Furniture,Bookcases,PROD-FU-5858,Sauder Classic Bookcase,2064.32,7,0.2,78.32
CA-2024-100180,2023-09-16,2023-09-17,Standard Class,CUST-1671,Vijay N,Corporate,Ahmedabad,Gujarat,Central,Technology,Accessories,PROD-TE-8927,Logitech Wireless Mouse,836.37,9,0.1,144.86
CA-2025-100079,2023-09-27,2023-09-29,Same Day,CUST-5278,Divya S,Consumer,Chennai,Tamil Nadu,West,Office Supplies,Storage,PROD-OF-8126,Rubbermaid Containers,640.21,7,0.0,78.8
CA-2024-100080,2023-09-28,2023-09-29,Second Class,CUST-9502,Divya M,Home Office,Ahmedabad,Gujarat,Central,Technology,Copiers,PROD-TE-9930,Xerox WorkCentre,3538.36,7,0.3,484.17
CA-2024-100002,2023-09-28,2023-10-02,Same Day,CUST-2148,Vijay S,Consumer,Mumbai,Maharashtra,South,Technology,Machines,PROD-TE-7293,3D Printer Mini,370.17,3,0.05,65.57
CA-2025-100049,2023-10-01,2023-10-04,Same Day,CUST-6984,Arun R,Home Office,Kolkata,West Bengal,West,Office Supplies,Envelopes,PROD-OF-6142,Staples Premium Envelopes,252.85,4,0.3,33.0
CA-2025-100025,2023-10-04,2023-10-08,Standard Class,CUST-6713,Anitha S,Consumer,Chennai,Tamil Nadu,South,Office Supplies,Appliances,PROD-OF-8026,Hoover Microwave,246.05,6,0.1,36.29
CA-2025-100177,2023-10-10,2023-10-17,Same Day,CUST-3839,Anitha K,Corporate,New Delhi,Delhi,West,Furniture,Bookcases,PROD-FU-4384,Bush Somerset Collection Bookcase,1684.23,4,0.0,129.17
CA-2025-100111,2023-10-16,2023-10-17,First Class,CUST-4453,Arun R,Consumer,Ahmedabad,Gujarat,East,Technology,Phones,PROD-TE-7675,Samsung Galaxy Office,2526.41,6,0.05,643.97
CA-2024-100086,2023-10-23,2023-10-29,First Class,CUST-2913,Priya S,Corporate,Ahmedabad,Gujarat,South,Technology,Phones,PROD-TE-8657,Samsung Galaxy Office,2659.19,9,0.15,542.58
CA-2025-100019,2023-11-05,2023-11-06,Second Class,CUST-5186,Divya S,Home Office,Mumbai,Maharashtra,East,Furniture,Furnishings,PROD-FU-9905,Eldon Wave Desk Accessories,383.12,1,0.2,3.61
CA-2024-100028,2023-11-10,2023-11-17,Same Day,CUST-5809,Priya M,Consumer,Mumbai,Maharashtra,East,Furniture,Chairs,PROD-FU-5178,Hon Deluxe Fabric Chair,490.2,5,0.2,55.41
CA-2024-100052,2023-11-12,2023-11-15,Same Day,CUST-7371,Priya N,Corporate,New Delhi,Delhi,West,Technology,Copiers,PROD-TE-7359,Xerox WorkCentre,593.38,1,0.15,147.42
CA-2024-100186,2023-11-14,2023-11-15,First Class,CUST-3113,Vijay S,Corporate,Ahmedabad,Gujarat,East,Technology,Machines,PROD-TE-6879,Laminator Pro,6003.94,8,0.05,1871.11
CA-2025-100011,2023-11-27,2023-11-30,Standard Class,CUST-9306,Vijay P,Consumer,Kochi,Kerala,East,Technology,Phones,PROD-TE-9808,Samsung Galaxy Office,571.32,2,0.15,110.54
CA-2025-100167,2023-11-27,2023-12-02,First Class,CUST-4727,Arun N,Consumer,Hyderabad,Telangana,East,Technology,Phones,PROD-TE-7272,Apple iPhone Business,4278.55,6,0.1,300.1
CA-2025-100089,2023-12-04,2023-12-09,Second Class,CUST-6233,Arun P,Corporate,Bengaluru,Karnataka,South,Technology,Copiers,PROD-TE-1317,Canon ImageRunner,2546.07,6,0.1,587.31
CA-2024-100166,2023-12-06,2023-12-12,Standard Class,CUST-9706,Divya R,Corporate,Kochi,Kerala,South,Furniture,Tables,PROD-FU-9894,Bevis Round Table,1537.61,4,0.1,243.9
CA-2025-100057,2023-12-06,2023-12-13,Standard Class,CUST-7456,Arun R,Corporate,Kolkata,West Bengal,Central,Office Supplies,Binders,PROD-OF-5212,Avery Durable Binders,383.72,9,0.15,58.85
CA-2024-100100,2023-12-10,2023-12-14,Standard Class,CUST-2607,Vijay P,Consumer,Kolkata,West Bengal,West,Furniture,Chairs,PROD-FU-6179,Hon Deluxe Fabric Chair,921.51,6,0.2,67.28
CA-2024-100020,2023-12-10,2023-12-11,Standard Class,CUST-4072,Vijay K,Home Office,Mumbai,Maharashtra,South,Technology,Phones,PROD-TE-7530,Samsung Galaxy Office,152.11,3,0.15,8.86
CA-2025-100055,2023-12-12,2023-12-14,Same Day,CUST-4177,Arun S,Consumer,Kolkata,West Bengal,West,Technology,Accessories,PROD-TE-9795,Belkin USB Hub,715.96,1,0.15,165.41
CA-2024-100170,2023-12-14,2023-12-18,Same Day,CUST-2013,Priya R,Home Office,Bengaluru,Karnataka,South,Technology,Copiers,PROD-TE-1226,Xerox WorkCentre,1287.21,3,0.1,237.73
CA-2025-100181,2023-12-25,2023-12-29,Same Day,CUST-7164,Priya M,Home Office,Kolkata,West Bengal,South,Technology,Accessories,PROD-TE-4670,Logitech Wireless Mouse,1383.95,4,0.1,268.31
CA-2025-100059,2024-01-02,2024-01-06,Same Day,CUST-3713,Anitha R,Corporate,Hyderabad,Telangana,Central,Office Supplies,Paper,PROD-OF-6588,Hammermill Paper,266.27,3,0.0,51.51
CA-2024-100014,2024-01-08,2024-01-10,First Class,CUST-1395,Arun R,Home Office,Kochi,Kerala,West,Furniture,Bookcases,PROD-FU-8400,Sauder Classic Bookcase,2390.81,7,0.15,92.97
CA-2024-100192,2024-01-09,2024-01-15,Same Day,CUST-1645,Arun S,Consumer,Kolkata,West Bengal,East,Furniture,Chairs,PROD-FU-8544,Global Ergonomic Chair,111.75,1,0.0,14.06
CA-2024-100176,2024-01-12,2024-01-17,Same Day,CUST-8999,Suresh N,Consumer,Kochi,Kerala,East,Technology,Phones,PROD-TE-7052,Samsung Galaxy Office,1641.15,6,0.1,200.83
CA-2024-100112,2024-01-14,2024-01-19,Second Class,CUST-2394,Meena N,Corporate,Bengaluru,Karnataka,South,Furniture,Chairs,PROD-FU-5732,Global Ergonomic Chair,2157.78,8,0.15,-73.26
CA-2025-100093,2024-01-15,2024-01-16,Same Day,CUST-8009,Vijay M,Corporate,Kochi,Kerala,South,Technology,Phones,PROD-TE-5543,Apple iPhone Business,99.77,2,0.1,28.27
CA-2025-100175,2024-01-20,2024-01-26,Standard Class,CUST-6068,Suresh K,Corporate,Bengaluru,Karnataka,South,Technology,Machines,PROD-TE-7397,Laminator Pro,3666.54,6,0.1,563.61
CA-2025-100023,2024-01-21,2024-01-23,Same Day,CUST-8575,Priya M,Home Office,Kochi,Kerala,South,Furniture,Furnishings,PROD-FU-1667,DAX Clear Frame,333.47,1,0.05,7.28
CA-2024-100050,2024-01-23,2024-01-27,Same Day,CUST-6765,Karthik M,Corporate,Kochi,Kerala,West,Furniture,Chairs,PROD-FU-2202,Hon Deluxe Fabric Chair,163.95,1,0.15,17.21
CA-2025-100067,2024-01-23,2024-01-26,Second Class,CUST-3679,Divya S,Home Office,Hyderabad,Telangana,South,Office Supplies,Labels,PROD-OF-3106,Avery Address Labels,218.84,4,0.15,18.84
CA-2025-100069,2024-01-25,2024-01-26,Same Day,CUST-9232,Priya S,Corporate,Mumbai,Maharashtra,South,Technology,Phones,PROD-TE-8184,Apple iPhone Business,2550.15,4,0.0,568.71
CA-2024-100108,2024-01-27,2024-02-02,First Class,CUST-5109,Anitha R,Corporate,Kochi,Kerala,Central,Office Supplies,Fasteners,PROD-OF-8179,OIC Binder Clips,596.3,7,0.0,145.66
CA-2024-100136,2024-01-28,2024-02-04,First Class,CUST-7602,Arun M,Consumer,Mumbai,Maharashtra,South,Furniture,Tables,PROD-FU-3349,Bevis Round Table,2285.11,9,0.15,206.14
CA-2025-100135,2024-02-02,2024-02-08,First Class,CUST-2100,Vijay K,Consumer,New Delhi,Delhi,Central,Furniture,Bookcases,PROD-FU-7652,Sauder Classic Bookcase,404.82,2,0.3,-29.65
CA-2024-100074,2024-02-06,2024-02-12,Standard Class,CUST-8970,Suresh M,Consumer,New Delhi,Delhi,East,Technology,Phones,PROD-TE-2252,Samsung Galaxy Office,685.45,2,0.0,185.3
CA-2024-100122,2024-02-11,2024-02-12,Second Class,CUST-1986,Suresh M,Consumer,Kochi,Kerala,Central,Furniture,Furnishings,PROD-FU-5440,DAX Clear Frame,619.91,2,0.15,-34.93
CA-2025-100147,2024-02-11,2024-02-13,Same Day,CUST-3964,Meena R,Corporate,Kolkata,West Bengal,Central,Office Supplies,Appliances,PROD-OF-8137,Hoover Microwave,115.9,1,0.0,25.45
CA-2024-100184,2024-02-15,2024-02-20,First Class,CUST-4750,Karthik K,Home Office,Kochi,Kerala,Central,Technology,Accessories,PROD-TE-9535,Logitech Wireless Mouse,1988.81,6,0.2,136.41
CA-2024-100022,2024-02-18,2024-02-24,Same Day,CUST-4376,Divya K,Home Office,Chennai,Tamil Nadu,East,Technology,Machines,PROD-TE-6645,3D Printer Mini,3948.43,5,0.05,320.66
CA-2024-100110,2024-02-23,2024-02-26,First Class,CUST-9946,Meena P,Corporate,Kolkata,West Bengal,Central,Furniture,Chairs,PROD-FU-7236,Global Ergonomic Chair,494.01,3,0.0,57.53
CA-2025-100061,2024-03-03,2024-03-07,Standard Class,CUST-6490,Suresh S,Consumer,Mumbai,Maharashtra,West,Office Supplies,Art,PROD-OF-7645,Newell 324 Art Set,236.27,8,0.15,45.29
CA-2025-100001,2024-03-11,2024-03-15,Second Class,CUST-9173,Arun P,Home Office,Kolkata,West Bengal,East,Furniture,Bookcases,PROD-FU-5495,Bush Somerset Collection Bookcase,577.08,3,0.05,19.77
CA-2024-100060,2024-03-30,2024-04-06,Standard Class,CUST-2759,Divya K,Home Office,Hyderabad,Telangana,East,Technology,Accessories,PROD-TE-3482,Logitech Wireless Mouse,176.36,1,0.0,61.58
CA-2025-100183,2024-03-31,2024-04-05,Standard Class,CUST-5624,Suresh K,Consumer,Hyderabad,Telangana,West,Office Supplies,Supplies,PROD-OF-2633,Pens & Highlighters,777.4,9,0.0,278.34
CA-2025-100081,2024-03-31,2024-04-04,First Class,CUST-3032,Suresh P,Consumer,Kochi,Kerala,West,Furniture,Bookcases,PROD-FU-9436,Bush Somerset Collection Bookcase,206.16,2,0.05,44.13
CA-2024-100012,2024-04-03,2024-04-04,Second Class,CUST-6988,Suresh M,Corporate,Chennai,Tamil Nadu,Central,Technology,Machines,PROD-TE-3504,Laminator Pro,4092.21,7,0.0,1215.14
CA-2025-100027,2024-04-04,2024-04-10,Same Day,CUST-9702,Priya K,Corporate,Chennai,Tamil Nadu,East,Technology,Copiers,PROD-TE-1384,Canon ImageRunner,307.23,1,0.2,10.28
CA-2024-100140,2024-04-05,2024-04-11,First Class,CUST-7813,Karthik S,Home Office,Mumbai,Maharashtra,East,Office Supplies,Binders,PROD-OF-1632,Avery Durable Binders,142.97,8,0.0,46.67
CA-2024-100082,2024-04-06,2024-04-10,Second Class,CUST-4760,Anitha M,Home Office,Ahmedabad,Gujarat,Central,Office Supplies,Fasteners,PROD-OF-3050,OIC Binder Clips,359.6,9,0.1,48.29
CA-2024-100130,2024-04-06,2024-04-07,Standard Class,CUST-1105,Divya M,Consumer,Bengaluru,Karnataka,South,Technology,Accessories,PROD-TE-6539,Logitech Wireless Mouse,692.47,2,0.3,32.25
CA-2025-100009,2024-04-11,2024-04-12,Same Day,CUST-7303,Karthik K,Home Office,Mumbai,Maharashtra,Central,Office Supplies,Storage,PROD-OF-1851,Fellowes Storage Box,348.82,3,0.1,31.34
CA-2025-100195,2024-04-16,2024-04-22,Second Class,CUST-1155,Meena P,Corporate,New Delhi,Delhi,South,Furniture,Bookcases,PROD-FU-2958,Sauder Classic Bookcase,1901.15,5,0.1,19.92
CA-2025-100103,2024-04-16,2024-04-20,First Class,CUST-2389,Divya M,Corporate,Ahmedabad,Gujarat,Central,Furniture,Tables,PROD-FU-9357,Bretford Conference Table,1037.99,5,0.0,146.4
CA-2025-100171,2024-04-17,2024-04-18,Same Day,CUST-3563,Anitha S,Corporate,New Delhi,Delhi,Central,Technology,Phones,PROD-TE-4292,Samsung Galaxy Office,705.66,5,0.3,-13.55
CA-2024-100032,2024-04-19,2024-04-22,First Class,CUST-6115,Priya R,Corporate,Chennai,Tamil Nadu,Central,Technology,Accessories,PROD-TE-5637,Logitech Wireless Mouse,759.34,2,0.1,113.59
CA-2024-100036,2024-04-20,2024-04-25,Standard Class,CUST-8240,Meena R,Consumer,Hyderabad,Telangana,East,Office Supplies,Binders,PROD-OF-7937,Avery Durable Binders,249.32,5,0.1,46.28
CA-2024-100072,2024-04-21,2024-04-28,Standard Class,CUST-2333,Suresh R,Consumer,Bengaluru,Karnataka,Central,Furniture,Chairs,PROD-FU-5150,Global Ergonomic Chair,119.81,1,0.1,7.42
CA-2024-100146,2024-04-29,2024-05-02,Standard Class,CUST-9286,Karthik S,Home Office,Chennai,Tamil Nadu,West,Technology,Phones,PROD-TE-6901,Apple iPhone Business,859.34,2,0.2,101.45
CA-2025-100045,2024-04-29,2024-05-03,Same Day,CUST-1009,Arun S,Consumer,Kolkata,West Bengal,West,Technology,Copiers,PROD-TE-1260,Xerox WorkCentre,462.44,1,0.15,80.89
